CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
1467398,WATERMILL INSTITUTIONAL TRADING LLC,868311,111 TOWN SQUARE PL,STE 1520,JERSEY CITY,NJ,7310
1468257,GREENSLEDGE CAPITAL MARKETS LLC,868328,575 LEXINGTON AVE,FL 32,NEW YORK,NY,10022
1468548,"CORE FINANCIAL, LLC",868330,1086 N 4TH ST STE 108,,COLUMBUS,OH,43201
1468647,EMERGING MANAGER ADVISORS LLC,868332,84 MORRIS ST,"11TH FLOOR, ATT: PAUL ECKEL",JERSEY CITY,NJ,7302
1468792,"HARBOR INVESTMENT ADVISORY, LLC",868334,2330 W JOPPA RD,STE 160,LUTHERVILLE,MD,21093
1469010,"HAITOU SECURITIES, INC.",868336,5335 WISCONSIN AVE NW,STE 200,WASHINGTON,DC,20015
1469150,"SC DISTRIBUTORS, LLC",868338,695 TOWN CENTER DR,STE 600,COSTA MESA,CA,92626
1469483,"ELARA SECURITIES, INC.",868346,230 PARK AVE,RM 2415,NEW YORK,NY,10169
1469553,"MILLENNIUM ADVISORS, LLC",868349,11605 N COMMUNITY HOUSE RD,STE 550,CHARLOTTE,NC,28277
1469724,TENEO SECURITIES LLC,868354,280 PARK AVE,FL 4,NEW YORK,NY,10017
1470281,MCS CAPITAL MARKETS LLC,868358,30 HUDSON YARDS,,NEW YORK,NY,10001
1470536,INVESTSHARES LLC,868365,701 BRICKELL AVE,STE 1550,MIAMI,FL,33131
1470736,BROOKFIELD PRIVATE ADVISORS LLC,868370,250 VESEY ST,FL 15,NEW YORK,NY,10281
1471382,"GSA CAPITAL ASSOCIATES, LLC",868377,278 BROADWAY,APT 2R,BROOKLYN,NY,11211
1471744,TAP SECURITIES LLC,868381,767 5TH AVE,FL 18,NEW YORK,NY,10153
